"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Dynamic Visibility","3","0","Panel Hide","0"
"0","","0","IFrames","3","0","Frame Context","0"
"0","","0","Drag and Drop","6","0","Drop Action","0"
"0","","0","Input Fields","3","0","Date Input","0"
"0","","0","Checkboxes","3","0","Radio Mutual Exclusivity","0"
"0","","0","Modals","3","0","Cancel Action","0"
"0","","0","Input Fields","3","0","URL Input","0"
"0","","0","Forms","9","0","Validation","0"
"0","","0","Checkboxes","6","0","Default State","0"
"0","","0","Input Fields","3","0","Search Input","0"
"0","","0","Checkboxes","3","0","Disabled State","0"
"0","","0","Dynamic Visibility","3","0","Panel Reveal","0"
"0","","0","Dropdowns","6","0","Multi Select","0"
"0","","0","Tables","3","0","Row Count","0"
"0","","0","Modals","3","0","Alert Banners","0"
"0","","0","IFrames","3","0","Frame Interaction","0"
"0","","0","Async Buttons","3","0","Error Flow","0"
"0","","0","Checkboxes","3","0","Check State","0"
"0","","0","IFrames","3","0","Frame Input","0"
"0","","0","Buttons","3","0","Danger Button","0"
"0","","0","Buttons","3","0","Secondary Button","0"
"0","","0","Input Fields","3","0","Text Input","0"
"0","","0","Modals","3","0","Initial State","0"
"0","","0","Dropdowns","9","0","Single Select","0"
"0","","0","Tables","3","0","Action Column","0"
"0","","0","Async Buttons","3","0","Success Flow","0"
"0","","0","Tables","12","0","Cell Content","0"
"0","","0","Dynamic Visibility","3","0","Initial State","0"
"0","","0","Forms","6","0","Registration","0"
"0","","0","Async Buttons","3","0","Reset Flow","0"
"0","","0","Drag and Drop","3","0","Source Items","0"
"0","","0","Input Fields","3","0","Visibility","0"
"0","","0","Checkboxes","3","0","Uncheck State","0"
"0","","0","Slider","3","0","Initial State","0"
"0","","0","Modals","3","0","Confirm Action","0"
"0","","0","Buttons","3","0","Primary Button Click","0"
"0","","0","Buttons","3","0","Disabled Button","0"
"0","","0","Input Fields","3","0","Number Input","0"
"0","","0","Dynamic Visibility","3","0","Counter","0"
"0","","0","Modals","3","0","Close via X","0"
"0","","0","Slider","6","0","Boundary Values","0"
"0","","0","Buttons","3","0","Primary Button","0"
"0","","0","IFrames","3","0","Frame Elements Visibility","0"
"0","","0","Modals","3","0","Open Modal","0"
"0","","0","Async Buttons","3","0","Loading State","0"
"0","","0","Drag and Drop","3","0","Drop Zone","0"
"0","","0","Slider","3","0","Value Change","0"
"0","","0","Buttons","3","0","Success Button","0"
