"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","747","danger button is visible and enabled","chromium","2026-05-11","passed","2026-05-11","Buttons","buttons.spec.ts","",""
"","798","dragging Item Alpha updates the drop log","chromium","2026-05-11","passed","2026-05-11","Drag and Drop","drag-and-drop.spec.ts","",""
"","1285","should close modal via X button","chromium","2026-05-11","passed","2026-05-11","Alerts & Modals","modals.spec.ts","",""
"","1924","should open modal on button click","firefox","2026-05-11","passed","2026-05-11","Alerts & Modals","modals.spec.ts","",""
"","1719","first row status is Active","firefox","2026-05-11","passed","2026-05-11","Tables","tables.spec.ts","",""
"","1350","secret button click increments counter","chromium","2026-05-11","passed","2026-05-11","Dynamic Visibility","dynamic-visibility.spec.ts","",""
"","1957","source items are visible in drag zone","firefox","2026-05-11","passed","2026-05-11","Drag and Drop","drag-and-drop.spec.ts","",""
"","2710","modal is hidden before opening","webkit","2026-05-11","passed","2026-05-11","Alerts & Modals","modals.spec.ts","",""
"","1053","should accept text input","chromium","2026-05-11","passed","2026-05-11","Input Fields","inputs.spec.ts","",""
"","2036","unchecking hides the panel again","firefox","2026-05-11","passed","2026-05-11","Dynamic Visibility","dynamic-visibility.spec.ts","",""
"","4088","should open modal on button click","webkit","2026-05-11","passed","2026-05-11","Alerts & Modals","modals.spec.ts","",""
"","3125","secret panel is hidden before checkbox is checked","webkit","2026-05-11","passed","2026-05-11","Dynamic Visibility","dynamic-visibility.spec.ts","",""
"","3074","dragging Item Beta updates the drop log","webkit","2026-05-11","passed","2026-05-11","Drag and Drop","drag-and-drop.spec.ts","",""
"","3497","iframe inner text is accessible via frame context","webkit","2026-05-11","passed","2026-05-11","IFrame Elements","iframes.spec.ts","",""
"","3708","should accept search input","webkit","2026-05-11","passed","2026-05-11","Input Fields","inputs.spec.ts","",""
"","1892","slider value display updates when value changes","firefox","2026-05-11","passed","2026-05-11","Slider","slider.spec.ts","",""
"","4523","submit button transitions: idle → loading → success","firefox","2026-05-11","passed","2026-05-11","Async Button States","async-buttons.spec.ts","",""
"","890","should select all available multi-select options","chromium","2026-05-11","passed","2026-05-11","Dropdowns","dropdowns.spec.ts","",""
"","4082","should show error when age is below minimum","webkit","2026-05-11","passed","2026-05-11","Registration Form","forms.spec.ts","",""
"","3352","should accept URL input","webkit","2026-05-11","passed","2026-05-11","Input Fields","inputs.spec.ts","",""
"","2076","should accept date input","firefox","2026-05-11","passed","2026-05-11","Input Fields","inputs.spec.ts","",""
"","1100","iframe inner elements are visible","chromium","2026-05-11","passed","2026-05-11","IFrame Elements","iframes.spec.ts","",""
"","1152","checking the checkbox reveals the secret panel","chromium","2026-05-11","passed","2026-05-11","Dynamic Visibility","dynamic-visibility.spec.ts","",""
"","1077","secondary button is visible and enabled","firefox","2026-05-11","passed","2026-05-11","Buttons","buttons.spec.ts","",""
"","2116","primary button click does not throw","firefox","2026-05-11","passed","2026-05-11","Buttons","buttons.spec.ts","",""
"","3248","first row status is Active","webkit","2026-05-11","passed","2026-05-11","Tables","tables.spec.ts","",""
"","1059","button click inside iframe produces a result","chromium","2026-05-11","passed","2026-05-11","IFrame Elements","iframes.spec.ts","",""
"","4035","should show error for invalid email format","webkit","2026-05-11","passed","2026-05-11","Registration Form","forms.spec.ts","",""
"","1518","radio No is checked by default","firefox","2026-05-11","passed","2026-05-11","Checkboxes & Radio Buttons","checkboxes.spec.ts","",""
"","1998","should accept search input","firefox","2026-05-11","passed","2026-05-11","Input Fields","inputs.spec.ts","",""
"","1681","disabled checkbox is not interactive","firefox","2026-05-11","passed","2026-05-11","Checkboxes & Radio Buttons","checkboxes.spec.ts","",""
"","2751","disabled button is not interactive","webkit","2026-05-11","passed","2026-05-11","Buttons","buttons.spec.ts","",""
"","3570","slider minimum boundary value","webkit","2026-05-11","passed","2026-05-11","Slider","slider.spec.ts","",""
"","3432","submit button is disabled during loading state","chromium","2026-05-11","passed","2026-05-11","Async Button States","async-buttons.spec.ts","",""
"","3108","iframe inner elements are visible","webkit","2026-05-11","passed","2026-05-11","IFrame Elements","iframes.spec.ts","",""
"","877","source items are visible in drag zone","chromium","2026-05-11","passed","2026-05-11","Drag and Drop","drag-and-drop.spec.ts","",""
"","5002","delete button transitions: idle → loading → error","firefox","2026-05-11","passed","2026-05-11","Async Button States","async-buttons.spec.ts","",""
"","1046","should accept number input within range","chromium","2026-05-11","passed","2026-05-11","Input Fields","inputs.spec.ts","",""
"","3369","slider maximum boundary value","webkit","2026-05-11","passed","2026-05-11","Slider","slider.spec.ts","",""
"","1031","iframe inner text is accessible via frame context","chromium","2026-05-11","passed","2026-05-11","IFrame Elements","iframes.spec.ts","",""
"","1179","should accept date input","chromium","2026-05-11","passed","2026-05-11","Input Fields","inputs.spec.ts","",""
"","2333","should close modal via X button","firefox","2026-05-11","passed","2026-05-11","Alerts & Modals","modals.spec.ts","",""
"","1019","should select multiple options","chromium","2026-05-11","passed","2026-05-11","Dropdowns","dropdowns.spec.ts","",""
"","948","should reflect the selected country value","chromium","2026-05-11","passed","2026-05-11","Dropdowns","dropdowns.spec.ts","",""
"","1024","should uncheck a pre-checked checkbox","chromium","2026-05-11","passed","2026-05-11","Checkboxes & Radio Buttons","checkboxes.spec.ts","",""
"","966","secret panel is hidden before checkbox is checked","chromium","2026-05-11","passed","2026-05-11","Dynamic Visibility","dynamic-visibility.spec.ts","",""
"","1122","unchecking hides the panel again","chromium","2026-05-11","passed","2026-05-11","Dynamic Visibility","dynamic-visibility.spec.ts","",""
"","3282","each row has an Edit button","webkit","2026-05-11","passed","2026-05-11","Tables","tables.spec.ts","",""
"","2163","secret button click increments counter","firefox","2026-05-11","passed","2026-05-11","Dynamic Visibility","dynamic-visibility.spec.ts","",""
"","2494","should show error for invalid email format","firefox","2026-05-11","passed","2026-05-11","Registration Form","forms.spec.ts","",""
"","887","first row status is Active","chromium","2026-05-11","passed","2026-05-11","Tables","tables.spec.ts","",""
"","1025","should check an unchecked checkbox","chromium","2026-05-11","passed","2026-05-11","Checkboxes & Radio Buttons","checkboxes.spec.ts","",""
"","2674","danger button is visible and enabled","webkit","2026-05-11","passed","2026-05-11","Buttons","buttons.spec.ts","",""
"","1857","should accept number input within range","firefox","2026-05-11","passed","2026-05-11","Input Fields","inputs.spec.ts","",""
"","778","secondary button is visible and enabled","chromium","2026-05-11","passed","2026-05-11","Buttons","buttons.spec.ts","",""
"","1673","table has exactly 3 data rows","firefox","2026-05-11","passed","2026-05-11","Tables","tables.spec.ts","",""
"","1481","danger button is visible and enabled","firefox","2026-05-11","passed","2026-05-11","Buttons","buttons.spec.ts","",""
"","1215","Confirm button is visible and clickable inside modal","chromium","2026-05-11","passed","2026-05-11","Alerts & Modals","modals.spec.ts","",""
"","3320","second row contains correct data","webkit","2026-05-11","passed","2026-05-11","Tables","tables.spec.ts","",""
"","1567","slider has initial value of 50","firefox","2026-05-11","passed","2026-05-11","Slider","slider.spec.ts","",""
"","3652","checking the checkbox reveals the secret panel","webkit","2026-05-11","passed","2026-05-11","Dynamic Visibility","dynamic-visibility.spec.ts","",""
"","1850","register button is visible","firefox","2026-05-11","passed","2026-05-11","Registration Form","forms.spec.ts","",""
"","3381","reset restores both buttons to initial state","chromium","2026-05-11","passed","2026-05-11","Async Button States","async-buttons.spec.ts","",""
"","1632","modal is hidden before opening","firefox","2026-05-11","passed","2026-05-11","Alerts & Modals","modals.spec.ts","",""
"","2650","secondary button is visible and enabled","webkit","2026-05-11","passed","2026-05-11","Buttons","buttons.spec.ts","",""
"","871","second row contains correct data","chromium","2026-05-11","passed","2026-05-11","Tables","tables.spec.ts","",""
"","2591","success button is visible and enabled","webkit","2026-05-11","passed","2026-05-11","Buttons","buttons.spec.ts","",""
"","14544","delete button transitions: idle → loading → error","webkit","2026-05-11","passed","2026-05-11","Async Button States","async-buttons.spec.ts","",""
"","727","primary button is visible and enabled","chromium","2026-05-11","passed","2026-05-11","Buttons","buttons.spec.ts","",""
"","2846","slider has initial value of 50","webkit","2026-05-11","passed","2026-05-11","Slider","slider.spec.ts","",""
"","14742","submit button transitions: idle → loading → success","webkit","2026-05-11","passed","2026-05-11","Async Button States","async-buttons.spec.ts","",""
"","1763","dragging Item Alpha updates the drop log","firefox","2026-05-11","passed","2026-05-11","Drag and Drop","drag-and-drop.spec.ts","",""
"","1368","should show validation errors on empty submit","chromium","2026-05-11","passed","2026-05-11","Registration Form","forms.spec.ts","",""
"","2982","should select multiple options","webkit","2026-05-11","passed","2026-05-11","Dropdowns","dropdowns.spec.ts","",""
"","1955","button click inside iframe produces a result","firefox","2026-05-11","passed","2026-05-11","IFrame Elements","iframes.spec.ts","",""
"","1439","should show error when age is below minimum","chromium","2026-05-11","passed","2026-05-11","Registration Form","forms.spec.ts","",""
"","1440","should submit form with valid data and show success","chromium","2026-05-11","passed","2026-05-11","Registration Form","forms.spec.ts","",""
"","3255","primary button click does not throw","webkit","2026-05-11","passed","2026-05-11","Buttons","buttons.spec.ts","",""
"","847","disabled checkbox is not interactive","chromium","2026-05-11","passed","2026-05-11","Checkboxes & Radio Buttons","checkboxes.spec.ts","",""
"","6210","should submit form with valid data and show success","webkit","2026-05-11","passed","2026-05-11","Registration Form","forms.spec.ts","",""
"","3399","should check an unchecked checkbox","webkit","2026-05-11","passed","2026-05-11","Checkboxes & Radio Buttons","checkboxes.spec.ts","",""
"","15016","reset restores both buttons to initial state","webkit","2026-05-11","passed","2026-05-11","Async Button States","async-buttons.spec.ts","",""
"","3128","should select a country from single select","webkit","2026-05-11","passed","2026-05-11","Dropdowns","dropdowns.spec.ts","",""
"","1042","all input fields are visible","chromium","2026-05-11","passed","2026-05-11","Input Fields","inputs.spec.ts","",""
"","14140","submit button is disabled during loading state","webkit","2026-05-11","passed","2026-05-11","Async Button States","async-buttons.spec.ts","",""
"","931","should open modal on button click","chromium","2026-05-11","passed","2026-05-11","Alerts & Modals","modals.spec.ts","",""
"","4327","should show validation errors on empty submit","webkit","2026-05-11","passed","2026-05-11","Registration Form","forms.spec.ts","",""
"","2717","country select defaults to empty","webkit","2026-05-11","passed","2026-05-11","Dropdowns","dropdowns.spec.ts","",""
"","1086","primary button click does not throw","chromium","2026-05-11","passed","2026-05-11","Buttons","buttons.spec.ts","",""
"","3400","should accept date input","webkit","2026-05-11","passed","2026-05-11","Input Fields","inputs.spec.ts","",""
"","1955","second row contains correct data","firefox","2026-05-11","passed","2026-05-11","Tables","tables.spec.ts","",""
"","3026","source items are visible in drag zone","webkit","2026-05-11","passed","2026-05-11","Drag and Drop","drag-and-drop.spec.ts","",""
"","4280","Confirm button is visible and clickable inside modal","webkit","2026-05-11","passed","2026-05-11","Alerts & Modals","modals.spec.ts","",""
"","2591","disabled checkbox is not interactive","webkit","2026-05-11","passed","2026-05-11","Checkboxes & Radio Buttons","checkboxes.spec.ts","",""
"","974","slider minimum boundary value","chromium","2026-05-11","passed","2026-05-11","Slider","slider.spec.ts","",""
"","1072","should accept URL input","chromium","2026-05-11","passed","2026-05-11","Input Fields","inputs.spec.ts","",""
"","1795","should check an unchecked checkbox","firefox","2026-05-11","passed","2026-05-11","Checkboxes & Radio Buttons","checkboxes.spec.ts","",""
"","1727","should select all available multi-select options","firefox","2026-05-11","passed","2026-05-11","Dropdowns","dropdowns.spec.ts","",""
"","5145","submit button is disabled during loading state","firefox","2026-05-11","passed","2026-05-11","Async Button States","async-buttons.spec.ts","",""
"","3236","should uncheck a pre-checked checkbox","webkit","2026-05-11","passed","2026-05-11","Checkboxes & Radio Buttons","checkboxes.spec.ts","",""
"","996","input field inside iframe accepts text","chromium","2026-05-11","passed","2026-05-11","IFrame Elements","iframes.spec.ts","",""
"","2557","alert banners are visible on page","webkit","2026-05-11","passed","2026-05-11","Alerts & Modals","modals.spec.ts","",""
"","795","slider has initial value of 50","chromium","2026-05-11","passed","2026-05-11","Slider","slider.spec.ts","",""
"","3138","register button is visible","webkit","2026-05-11","passed","2026-05-11","Registration Form","forms.spec.ts","",""
"","3874","should close modal on Cancel click","webkit","2026-05-11","passed","2026-05-11","Alerts & Modals","modals.spec.ts","",""
"","963","table has exactly 3 data rows","chromium","2026-05-11","passed","2026-05-11","Tables","tables.spec.ts","",""
"","2181","iframe inner elements are visible","firefox","2026-05-11","passed","2026-05-11","IFrame Elements","iframes.spec.ts","",""
"","931","slider maximum boundary value","chromium","2026-05-11","passed","2026-05-11","Slider","slider.spec.ts","",""
"","3073","slider value display updates when value changes","webkit","2026-05-11","passed","2026-05-11","Slider","slider.spec.ts","",""
"","1953","slider minimum boundary value","firefox","2026-05-11","passed","2026-05-11","Slider","slider.spec.ts","",""
"","2929","primary button is visible and enabled","webkit","2026-05-11","passed","2026-05-11","Buttons","buttons.spec.ts","",""
"","1689","should accept text input","firefox","2026-05-11","passed","2026-05-11","Input Fields","inputs.spec.ts","",""
"","2908","second row status is Inactive","webkit","2026-05-11","passed","2026-05-11","Tables","tables.spec.ts","",""
"","1906","checking the checkbox reveals the secret panel","firefox","2026-05-11","passed","2026-05-11","Dynamic Visibility","dynamic-visibility.spec.ts","",""
"","3336","should select all available multi-select options","webkit","2026-05-11","passed","2026-05-11","Dropdowns","dropdowns.spec.ts","",""
"","1207","should accept search input","chromium","2026-05-11","passed","2026-05-11","Input Fields","inputs.spec.ts","",""
"","1704","should uncheck a pre-checked checkbox","firefox","2026-05-11","passed","2026-05-11","Checkboxes & Radio Buttons","checkboxes.spec.ts","",""
"","1184","should close modal on Cancel click","chromium","2026-05-11","passed","2026-05-11","Alerts & Modals","modals.spec.ts","",""
"","1686","each row has an Edit button","firefox","2026-05-11","passed","2026-05-11","Tables","tables.spec.ts","",""
"","983","register button is visible","chromium","2026-05-11","passed","2026-05-11","Registration Form","forms.spec.ts","",""
"","3083","should accept text input","webkit","2026-05-11","passed","2026-05-11","Input Fields","inputs.spec.ts","",""
"","3456","radio buttons are mutually exclusive","webkit","2026-05-11","passed","2026-05-11","Checkboxes & Radio Buttons","checkboxes.spec.ts","",""
"","913","target drop zone is visible","chromium","2026-05-11","passed","2026-05-11","Drag and Drop","drag-and-drop.spec.ts","",""
"","1874","slider maximum boundary value","firefox","2026-05-11","passed","2026-05-11","Slider","slider.spec.ts","",""
